2021-04-23 10:55:14,736 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': [['日照']], 'keyWordList2': ['日照'], 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 49}
2021-04-23 10:55:27,716 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 10, 'keyWord': '', 'keyWordList1': [['日照']], 'keyWordList2': ['日照'], 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 49}
2021-04-23 11:02:22,711 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '04', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '山东海王银河医药有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-23 13:47:38,461 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'userId': 112, 'orgName': '湖南中宏融资租赁有限公司', 'checkInType': '', 'txBussType': '', 'txBussTypeList': '', 'checkInNo': '', 'checkInDateStart': '', 'checkInDateEnd': '', 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'index': 0, 'pageSize': 1000}
2021-04-23 14:15:36,612 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '07587587000897687024', 'checkInType': '04', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-23 14:15:48,289 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '07587587000897687024', 'checkInType': '04', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-23 14:15:54,651 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '04', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-23 14:16:10,158 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '07587587000897687024', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-23 14:16:22,155 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '07587587000897687024', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': [['12']], 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-23 14:17:27,703 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 49}
2021-04-23 14:17:31,930 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 49}
2021-04-23 14:17:34,947 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': ['日照'], 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 49}
2021-04-23 14:17:42,525 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '07587587000897687024', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': [['王祥兵']], 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-23 14:17:45,950 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 10, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': ['日照'], 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 49}
2021-04-23 14:19:10,057 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': [['SY0068']], 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-23 14:22:16,539 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': 5175, 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': [['10913868'], ['10913869'], ['10913870'], ['10913871'], ['10913872'], ['10913873'], ['10913874'], ['10913881'], ['10913882'], ['10913883'], ['10913884'], ['10913885'], ['10913886'], ['10913887'], ['10913888'], ['10913889'], ['10913898'], ['10913899'], ['10913900'], ['10913901'], ['10913902'], ['10913903'], ['10913904'], ['10913905'], ['10913906'], ['10913912'], ['10913913'], ['10913914'], ['10913915'], ['10913916'], ['10913917'], ['10913918'], ['10913919'], ['10913925'], ['10913926'], ['10913927'], ['10913928'], ['10913929'], ['10913937'], ['10913938'], ['10913939'], ['10913940'], ['10913941'], ['10913942'], ['10913947'], ['10913948'], ['10913949'], ['10913950'], ['10913951'], ['10913952'], ['10913858'], ['10913959'], ['10913960'], ['10913961'], ['10913962'], ['10913963'], ['10913964'], ['10913965'], ['10913974'], ['10913975']], 'keyWordList2': '', 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 153}
2021-04-23 14:29:20,359 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-23 14:29:38,357 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-23 14:29:43,629 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': [['SY0068']], 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-23 16:23:10,808 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 48}
2021-04-23 16:23:20,755 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 480, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 48}
2021-04-23 16:26:24,017 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 48}
2021-04-23 16:26:31,689 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 480, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '瑞康医药集团股份有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 48}
2021-04-23 16:29:29,343 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '北京爱奇艺科技有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
