2021-04-21 09:20:22,784 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '07587587000897687024', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-21 09:22:34,595 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '07587587000897687024', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-21 09:22:51,411 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': 'zdw/10341176001233511599/中宏abn二期资产清单.pdf', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-21 09:23:06,944 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '10341176001233511599', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-21 09:23:29,056 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '10341176001233511599', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-21 09:24:02,979 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '10341176001233511599', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-21 09:27:48,967 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '10341176001233511599', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-21 09:27:58,367 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '10341176001233511599', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-21 09:32:42,001 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '10341176001233511599', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-21 09:32:48,387 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '10341176001233511599', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
2021-04-21 09:33:25,155 - /home/bigdata/zdwnew/server.py[line:408] - INFO: {'checkInDateEnd': '', 'checkInDateStart': '', 'checkInNo': '07587587000897687024', 'checkInType': '', 'endDate': '', 'fileId': '', 'idList': '', 'index': 0, 'keyWord': '', 'keyWordList1': '', 'keyWordList2': '', 'orderBy': '', 'orgName': '湖南中宏融资租赁有限公司', 'pageSize': 10, 'sort': 'checkInDateStart', 'startDate': '', 'txBussType': '', 'txBussTypeList': '', 'userId': 104}
